,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Adam Barajas,Male,hispanic,,,No,Yes,California,3/5/24,Representative,6,,8711,10.21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,
Ami Bera,Male,Asian (Indian),,,Yes,No,California,3/5/24,Representative,6,H0CA03078,76605,89.79%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
David Lee Mandel,Male,White (Jewish),,,No,Yes,California,3/5/24,Representative,7,,20057,18.31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Doris Matsui,Female,Asian (Japanese),,,Yes,No,California,3/5/24,Representative,7,H6CA05195,89485,81.69%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Garamendi,Male,White,,,Yes,No,California,3/5/24,Representative,8,H0CA10149,100193,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Josh Harder,Male,White,,,Yes,No,California,3/5/24,Representative,9,H8CA10126,60978,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Mark DeSaulnier,Male,White,,,Yes,No,California,3/5/24,Representative,10,H0CA10073,121334,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Bianca Von Krieg,Female,White,,,No,Yes,California,3/5/24,Representative,11,,7634,4.78%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,
Jason Boyce,Male,Black,,,No,Yes,California,3/5/24,Representative,11,,4325,2.71%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,
Marjorie Mikels,Female,White ,,,No,Yes,California,3/5/24,Representative,11,,9363,5.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,N/A,
Nancy Pelosi,Female,White,,,Yes,No,California,3/5/24,Representative,11,H8CA05035,138285,86.64%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Abdur Sikder,Male,Asian (Indian),,,No,No,California,3/5/24,Representative,12,,2857,2.01%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Andre Todd,Male,Black,,,No,No,California,3/5/24,Representative,12,,1632,1.15%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Eric Wilson,Male,Black,,,No,No,California,3/5/24,Representative,12,,4252,3.00%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Glenn Kaplan,Male,White,,,No,No,California,3/5/24,Representative,12,,6799,4.80%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Jennifer Tran,Female,Asian (Vietnamese),,,No,No,California,3/5/24,Representative,12,,22999,16.22%,Made runoff,,,,No,N/A,N/A,No,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Tony Daysog,Male,Asian (Japanese),,,No,No,California,3/5/24,Representative,12,,17222,12.15%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Lateefah Simon,Female,Black,,,No,No,California,3/5/24,Representative,12,,86031,60.67%,Made runoff,,,,Yes,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Adam Gray,Male,White,,,No,No,California,3/5/24,Representative,13,,38754,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,
Eric Swalwell,Male,White,,,Yes,No,California,3/5/24,Representative,14,H2CA15094,84075,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Kevin Mullin,Male,white,,,Yes,No,California,3/5/24,Representative,15,H2CA14162,109172,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Ahmed Mostafa,Male,Asian (Indian),,,No,No,California,3/5/24,Representative,16,,5814,3.95%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Evan Low,Male,Asian (Indian),,,No,No,California,3/5/24,Representative,16,,30261,20.54%,Made runoff,,,,No,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,No,N/A,
Greg Lin Tanaka,Male,"Asian (half Japanese, half Chinese)",,,No,No,California,3/5/24,Representative,16,,2421,1.64%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Joby B. Bernstein,Male,White (Jewish),,,No,No,California,3/5/24,Representative,16,,1652,1.12%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Joe Simitian,Male,White,,,No,No,California,3/5/24,Representative,16,,30256,20.53%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Julie Lythcott-Haims,Female,Black,White (Biracial),,No,No,California,3/5/24,Representative,16,,11386,7.73%,Lost,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Peter Dixon,Male,White,,,No,No,California,3/5/24,Representative,16,,14677,9.96%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Rishi Kumar,Male,Asian (Indian),,,No,No,California,3/5/24,Representative,16,,12383,8.40%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Sam Liccardo,Male,Asian,,,No,No,California,3/5/24,Representative,16,,38492,26.12%,Made runoff,,,,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Mario Art Ramirez,Male,hispanic,,,No,Yes,California,3/5/24,Representative,17,,4498,5.34%,Lost,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
Ritesh Tandon,Male,Asian (Indian),,,No,Yes,California,3/5/24,Representative,17,,5738,6.81%,Lost,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,
