,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Anna Nevenic,Female,White,,,No,No,California,3/5/24,Representative,41,,13862,18.21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,
Will Rollins,Male,White,,,No,No,California,3/5/24,Representative,41,,62245,81.79%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Yes,
J. Nicole Lopez,Female,White,,,No,Yes,California,3/5/24,Representative,42,,8758,13.44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joaquín Beltrán,Male,hispanic (Mexican),,,No,Yes,California,3/5/24,Representative,42,,6532,10.02%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert Garcia,Male,White,,,Yes,No,California,3/5/24,Representative,42,H2CA47188,49891,76.54%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris B. Wiggins,Male,Black,,,No,Yes,California,3/5/24,Representative,43,,4999,8.10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gregory Edward Jackson Cheadle,Male,Black,,,No,Yes,California,3/5/24,Representative,43,,2075,3.36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maxine Waters,Female,White,,,Yes,No,California,3/5/24,Representative,43,H4CA23011,54673,88.54%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nanette Diaz Barragán,Female,hispanic (Mexican),,,Yes,No,California,3/5/24,Representative,44,H6CA44103,63622,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Aditya Pai,Male,Asian (Indian),,,No,No,California,3/5/24,Representative,45,,7399,11.54%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cheyenne Hunt,Female,White,,,No,No,California,3/5/24,Representative,45,,11973,18.68%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Derek Tran,Male,Asian (Vietnamese),,,No,No,California,3/5/24,Representative,45,,22546,35.17%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kim Bernice Nguyen-Penaloza,Female,Asian (Vietnamese),hispanic (Mexico),,No,No,California,3/5/24,Representative,45,,22179,34.60%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lou Correa,Male,hispanic (Mexican),,,Yes,No,California,3/5/24,Representative,46,H6CA46116,46184,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Boyd Roberts,Male,White,,,No,No,California,3/5/24,Representative,47,,2570,3.04%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Dave Min,Male,Asian (Korean),,,No,No,California,3/5/24,Representative,47,,46393,54.87%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Joanna Weiss,Female,White,,,No,No,California,3/5/24,Representative,47,,34802,41.16%,Lost,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Shariq Zaidi,Male,Asian (Indian),,,No,No,California,3/5/24,Representative,47,,788,0.93%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Matthew G. Rascon,Male,White,,,No,No,California,3/5/24,Representative,48,,3988,6.10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Simon,Male,White,,,No,No,California,3/5/24,Representative,48,,12950,19.81%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stephen Houlahan,Male,White,,,No,No,California,3/5/24,Representative,48,,26601,40.70%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Whitney Shanahan,Female,White,,,No,No,California,3/5/24,Representative,48,,21819,33.38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Levin,Male,White,,,Yes,No,California,3/5/24,Representative,49,H8CA49058,97275,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Scott Peters,Male,White,,,Yes,No,California,3/5/24,Representative,50,H2CA52089,97601,88.16%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Timothy Daniel Bilash,Male,White,,,No,Yes,California,3/5/24,Representative,50,,13106,11.84%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Sara Jacobs,Female,White,,,Yes,No,California,3/5/24,Representative,51,H8CA49074,90901,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Juan Vargas,Male,hispanic (Mexican),,,Yes,No,California,3/5/24,Representative,52,H2CA50026,62511,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Barbara Lee,Female,Black,,,No,No,California,3/5/24,Senator,N/A,,717129,16.52%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,No,No,Yes,N/A,
Adam B. Schiff,Male,White,,,No,No,California,3/5/24,Senator,N/A,,2304829,53.09%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,Yes,Yes,Yes,N/A,
Christina Pascucci,Female,White,,,No,No,California,3/5/24,Senator,N/A,,61998,1.43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,No,N/A,
David Peterson,Male,White,,,No,No,California,3/5/24,Senator,N/A,,21170,0.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,No,N/A,
Douglas H. Pierce,Male,White,,,No,No,California,3/5/24,Senator,N/A,,19458,0.45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,No,N/A,
Harmesh Kumar,Male,Asian (Indian),,,No,No,California,3/5/24,Senator,N/A,,21624,0.50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,No,N/A,
John Rose,Male,White,,,No,No,California,3/5/24,Senator,N/A,,14627,0.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,No,N/A,
Katie Porter,Female,White,,,No,No,California,3/5/24,Senator,N/A,,1118429,25.76%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,Yes,N/A,
Perry Pound,Male,White,,,No,No,California,3/5/24,Senator,N/A,,14195,0.33%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,No,N/A,
Raji Rab,Male,Asian (Indian),,,No,No,California,3/5/24,Senator,N/A,,13640,0.31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,No,N/A,
Sepi Gilani,Female,White,,,No,No,California,3/5/24,Senator,N/A,,34316,0.79%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,No,N/A,
Don Davis,Male,Black,,,Yes,No,North Carolina,3/5/24,Representative,1,H2NC02287,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Deborah K. Ross,Female,White,,,Yes,No,North Carolina,3/5/24,Representative,2,H0NC02125,69564,93.59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Michael Camero,Male,White,,,No,Yes,North Carolina,3/5/24,Representative,2,,4761,6.41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Valerie P. Foushee,Female,Black,,,Yes,No,North Carolina,3/5/24,Representative,4,H2NC06114,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Chuck Hubbard,Male,White,,,No,No,North Carolina,3/5/24,Representative,5,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marlando D. Pridgen,Male,Black,,,No,No,North Carolina,3/5/24,Representative,7,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Justin E. Dues,Male,White,,,No,No,North Carolina,3/5/24,Representative,8,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nigel William Bristow,Male,Black,,,No,No,North Carolina,3/5/24,Representative,9,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Ralph R. Scott, Jr.",Male,White,,,No,No,North Carolina,3/5/24,Representative,10,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Caleb Rudow,Male,White,,,No,No,North Carolina,3/5/24,Representative,11,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alma S. Adams,Female,Black,,,Yes,No,North Carolina,3/5/24,Representative,12,H4NC12100,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Frank Pierce,Male,White,,,No,No,North Carolina,3/5/24,Representative,13,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brendan K. Maginnis,Male,White,,,No,No,North Carolina,3/5/24,Representative,14,,13121,39.16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pam Genant,Female,White,,,No,No,North Carolina,3/5/24,Representative,14,,20389,60.84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chrelle Booker,Female,Black,,,No,No,North Carolina,3/5/24,Governor,N/A,,46045,6.69%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Gary Foxx,Male,Black,,,No,No,North Carolina,3/5/24,Governor,N/A,,25283,3.67%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Josh Stein,Male,White,,,No,No,North Carolina,3/5/24,Governor,N/A,,479026,69.60%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Marcus W. Williams,Male,Black,,,No,No,North Carolina,3/5/24,Governor,N/A,,39257,5.70%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Michael R. (Mike) Morgan,Male,Black,,,No,No,North Carolina,3/5/24,Governor,N/A,,98627,14.33%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Peter Filler,Male,White,,,No,No,Texas,3/5/24,Representative,2,,17044,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sandeep Srivastava,Male,White,,,No,No,Texas,3/5/24,Representative,3,,17422,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Simon Cardell,Male,White,,,No,No,Texas,3/5/24,Representative,4,,14954,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Ruth ""Truth"" Torres",Female,hispanic (Puerto Rican),,,No,No,Texas,3/5/24,Representative,5,,17145,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Love III,Male,Black,,,No,No,Texas,3/5/24,Representative,6,,13813,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lizzie Fletcher,Female,White,,,Yes,No,Texas,3/5/24,Representative,7,H8TX07140,27902,74.24%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Pervez Agwan,Male,Asian (Indian),,,No,Yes,Texas,3/5/24,Representative,7,,9679,25.76%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Laura Jones,Female,White,,,No,No,Texas,3/5/24,Representative,8,,14390,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Al Green,Male,Black,,,Yes,No,Texas,3/5/24,Representative,9,H4TX09095,42191,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Keith McPhail,Male,White,,,No,No,Texas,3/5/24,Representative,10,,5661,27.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Theresa Boisseau,Female,White,,,No,No,Texas,3/5/24,Representative,10,,14702,72.20%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sebastian K. Gehrig,Male,White,,,No,No,Texas,3/5/24,Representative,12,,8638,41.99%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Trey J. Hunt,Male,White,,,No,No,Texas,3/5/24,Representative,12,,11935,58.01%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rhonda Hart,Female,White,,,No,No,Texas,3/5/24,Representative,14,,15357,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Villarreal Rigney,Male,White,,,No,No,Texas,3/5/24,Representative,15,,7268,25.30%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,No,
Michelle Vallejo,Female,hispanic (Mexican),,,No,No,Texas,3/5/24,Representative,15,,21456,74.70%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,Yes,
Leeland White,Male,White,,,No,Yes,Texas,3/5/24,Representative,16,,4470,13.71%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,No,N/A,
Veronica Escobar,Female,hispanic (Mexican),,,Yes,No,Texas,3/5/24,Representative,16,H8TX16109,28129,86.29%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Mark Lorenzen,Male,White,,,No,No,Texas,3/5/24,Representative,17,,13925,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Amanda Edwards,Female,White,,,No,Yes,Texas,3/5/24,Representative,18,,14668,37.27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert Slater,Male,Black,,,No,Yes,Texas,3/5/24,Representative,18,,1059,2.69%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sheila Jackson Lee,Female,Black,,,Yes,No,Texas,3/5/24,Representative,18,H4TX18054,23629,60.04%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joaquin Castro,Male,hispanic,,,Yes,No,Texas,3/5/24,Representative,20,H2TX35011,25018,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Kristin Hook,Female,White,,,No,No,Texas,3/5/24,Representative,21,,28579,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marquette Greene-Scott,Female,Black,,,No,No,Texas,3/5/24,Representative,22,,17290,81.68%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Wayne Raasch,Male,White,,,No,No,Texas,3/5/24,Representative,22,,3877,18.32%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lee Bausinger,Male,White,,,No,No,Texas,3/5/24,Representative,23,,11577,41.51%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
S. Limon,Male,hispanic,,,No,No,Texas,3/5/24,Representative,23,,16316,58.49%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Francine Ly,Female,Asian ,,,No,No,Texas,3/5/24,Representative,24,,12314,41.37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sam Eppler,Male,White,,,No,No,Texas,3/5/24,Representative,24,,17451,58.63%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ernest R. Lineberger III,Male,White,,,No,No,Texas,3/5/24,Representative,26,,18308,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anthony (A.J.) Tristan,Male,White,,,No,No,Texas,3/5/24,Representative,27,,9013,46.66%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tanya Lloyd,Female,White,,,No,No,Texas,3/5/24,Representative,27,,10305,53.34%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Henry Cuellar,Male,hispanic (Mexican),,,Yes,No,Texas,3/5/24,Representative,28,H2TX23082,35550,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Sylvia Garcia,Female,hispanic (Mexican),,,Yes,No,Texas,3/5/24,Representative,29,H8TX29052,17297,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,N/A,N/A,
Jarred D. Davis,Male,White,,,No,Yes,Texas,3/5/24,Representative,30,,3982,8.46%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jasmine Crockett,Female,Black,,,Yes,No,Texas,3/5/24,Representative,30,H2TX30178,43059,91.54%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brian Walbridge,Male,White,,,No,No,Texas,3/5/24,Representative,31,,5346,25.82%,Made runoff,1614,31.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rick Von Pfeil,Male,White,,,No,No,Texas,3/5/24,Representative,31,,5332,25.76%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stuart Whitlow,Male,White,,,No,No,Texas,3/5/24,Representative,31,,10023,48.42%,Made runoff,3512,68.51%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alex Cornwallis,Male,White,,,No,No,Texas,3/5/24,Representative,32,,909,2.60%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brian Williams,Male,Black,,,No,No,Texas,3/5/24,Representative,32,,6704,19.18%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Callie Butcher,Female,White,,,No,No,Texas,3/5/24,Representative,32,,1169,3.34%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Christopher Panayiotou,Male,White,,,No,No,Texas,3/5/24,Representative,32,,361,1.03%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jan McDowell,Female,White,,,No,No,Texas,3/5/24,Representative,32,,1722,4.93%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Julie Johnson,Female,White,,,No,No,Texas,3/5/24,Representative,32,,17633,50.44%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Justin A. Moore,Male,Black,,,No,No,Texas,3/5/24,Representative,32,,2483,7.10%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin Felder,Male,Black,,,No,No,Texas,3/5/24,Representative,32,,1101,3.15%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Raja Chaudhry,Male,White,,,No,No,Texas,3/5/24,Representative,32,,1258,3.60%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Zachariah Manning,Male,Black,,,No,No,Texas,3/5/24,Representative,32,,1617,4.63%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carlos Quintanilla,Male,hispanic,,,No,Yes,Texas,3/5/24,Representative,33,,7102,31.68%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,
Marc Veasey,Male,Black,,,Yes,No,Texas,3/5/24,Representative,33,H2TX33073,15313,68.32%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,
Vicente Gonzalez,Male,hispanic (Mexican),,,Yes,No,Texas,3/5/24,Representative,34,H6TX15162,27745,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Greg Casar,Male,hispanic (Mexican),,,Yes,No,Texas,3/5/24,Representative,35,H2TX35144,28830,100.00%,Won,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,N/A,Yes,N/A,N/A,Yes,N/A,
Dayna Steele,Female,White,,,No,No,Texas,3/5/24,Representative,36,,14973,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Christopher ""Chris"" McNerney",Male,White,,,No,Yes,Texas,3/5/24,Representative,37,,5279,7.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,No,N/A,
"Eduardo ""Lalito"" Romero",Male,hispanic,,,No,Yes,Texas,3/5/24,Representative,37,,4048,6.03%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,No,N/A,
Lloyd Doggett,Male,White,,,Yes,No,Texas,3/5/24,Representative,37,H4TX10028,57762,86.10%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Gion Christopher Thomas,Male,White,,,No,No,Texas,3/5/24,Representative,38,,3910,17.46%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Melissa McDonough,Female,White,,,No,No,Texas,3/5/24,Representative,38,,18486,82.54%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"A. ""Robert"" Hassan",Male,hispanic,,,No,No,Texas,3/5/24,Senator,N/A,,21855,2.26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Carl Oscar Sherman,Male,Black,,,No,No,Texas,3/5/24,Senator,N/A,,31694,3.28%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Colin Allred,Male,Black,,,No,No,Texas,3/5/24,Senator,N/A,,569585,58.87%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Heli Rodriguez Prilliman,Female,hispanic,,,No,No,Texas,3/5/24,Senator,N/A,,18801,1.94%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Mark Gonzalez,Male,hispanic,,,No,No,Texas,3/5/24,Senator,N/A,,85228,8.81%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
Meri Gomez,Female,hispanic,,,No,No,Texas,3/5/24,Senator,N/A,,44166,4.56%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,
