Personal Data,,,,,,,,Endorsement Data,,,Electoral Data,,,Factchecking Columns,,,
Candidate,Incumbent,Open Primary,State,Primary Date,Office,District,Gender,Trump,E-PAC,Winning for Women,Primary %,Primary Outcome,Chance of Winning (Nov 3),"Checked? (not H, J, K, L)",,Man vs. Woman?,"Checked? inc. H, J, K, P"
Tom Tiffany,Yes,No,Wisconsin,8/11/2020,Representative,7,Male,N/A,N/A,N/A,100,Won,,,WisconsinRepresentative7,No,
Mike Gallagher,Yes,No,Wisconsin,8/11/2020,Representative,8,Male,N/A,N/A,N/A,100,Won,,,WisconsinRepresentative8,No,
Ron Curtis,No,Yes,Hawaii,8/8/2020,Representative,1,Male,N/A,N/A,N/A,41,Won,,,HawaiiRepresentative1,Yes,
"James ""JD"" Dickens",No,Yes,Hawaii,8/8/2020,Representative,1,Male,N/A,N/A,N/A,21,Lost,,,HawaiiRepresentative1,Yes,
Nancy Olson,No,Yes,Hawaii,8/8/2020,Representative,1,Female,N/A,N/A,N/A,20,Lost,,,HawaiiRepresentative1,Yes,yes
Arturo Pacheco Reyes,No,Yes,Hawaii,8/8/2020,Representative,1,Male,N/A,N/A,N/A,13,Lost,,,HawaiiRepresentative1,Yes,
Taylor Smith,No,Yes,Hawaii,8/8/2020,Representative,1,Male,N/A,N/A,N/A,5,Lost,,,HawaiiRepresentative1,Yes,
Joe Akana,No,Yes,Hawaii,8/8/2020,Representative,2,Male,N/A,N/A,N/A,44,Won,,,HawaiiRepresentative2,Yes,
Steven Bond,No,Yes,Hawaii,8/8/2020,Representative,2,Male,N/A,N/A,N/A,6,Lost,,,HawaiiRepresentative2,Yes,
"Karla ""Bart"" Gottschalk",No,Yes,Hawaii,8/8/2020,Representative,2,Female,N/A,N/A,N/A,3,Lost,,,HawaiiRepresentative2,Yes,yes
David R. Hamman,No,Yes,Hawaii,8/8/2020,Representative,2,Male,N/A,N/A,N/A,10,Lost,,,HawaiiRepresentative2,Yes,
Elise Kaneshiro,No,Yes,Hawaii,8/8/2020,Representative,2,Female,N/A,N/A,N/A,15,Lost,,,HawaiiRepresentative2,Yes,yes
Nicholas Love,No,Yes,Hawaii,8/8/2020,Representative,2,Male,N/A,N/A,N/A,8,Lost,,,HawaiiRepresentative2,Yes,
Robert Nagamine,No,Yes,Hawaii,8/8/2020,Representative,2,Male,N/A,N/A,N/A,8,Lost,,,HawaiiRepresentative2,Yes,
Raymond Quel,No,Yes,Hawaii,8/8/2020,Representative,2,Male,N/A,N/A,N/A,1,Lost,,,HawaiiRepresentative2,Yes,
Felipe San Nicolas,No,Yes,Hawaii,8/8/2020,Representative,2,Male,N/A,N/A,N/A,4,Lost,,,HawaiiRepresentative2,Yes,
Clifford Adkins,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,1,Lost,,,TennesseeSenatorN/A,Yes,
Natisha Brooks,No,Yes,Tennessee,8/6/2020,Senator,N/A,Female,No,N/A,N/A,1,Lost,,,TennesseeSenatorN/A,Yes,yes
Byron Bush,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,1,Lost,,,TennesseeSenatorN/A,Yes,
Roy Dale Cope,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,0,Lost,,,TennesseeSenatorN/A,Yes,
Terry Dicus,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,0,Lost,,,TennesseeSenatorN/A,Yes,
Tom Emerson Jr.,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,0,Lost,,,TennesseeSenatorN/A,Yes,
George Flinn,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,3,Lost,,,TennesseeSenatorN/A,Yes,
Bill Hagerty,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,Yes,N/A,N/A,51,Won,,yes,TennesseeSenatorN/A,Yes,
Jon Henry,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,1,Lost,,,TennesseeSenatorN/A,Yes,
Kent Morrell,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,0,Lost,,,TennesseeSenatorN/A,Yes,
Glen Neal,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,0,Lost,,,TennesseeSenatorN/A,Yes,
John E. Osborne,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,0,Lost,,,TennesseeSenatorN/A,Yes,
Aaron Pettigrew,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,0,Lost,,,TennesseeSenatorN/A,Yes,
David Schuster,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,0,Lost,,,TennesseeSenatorN/A,Yes,
Manny Sethi,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,No,N/A,N/A,39,Lost,,,TennesseeSenatorN/A,Yes,
Jay Adkins,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,2,Lost,,,TennesseeRepresentative1,Yes,
Phil Arlinghaus,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,0,Lost,,,TennesseeRepresentative1,Yes,
Richard Baker,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,0,Lost,,,TennesseeRepresentative1,Yes,
Chance Cansler,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,0,Lost,,,TennesseeRepresentative1,Yes,
John Clark,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,9,Lost,,,TennesseeRepresentative1,Yes,
Rusty Crowe,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,16,Lost,,,TennesseeRepresentative1,Yes,
Steve Darden,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,12,Lost,,,TennesseeRepresentative1,Yes,
Chad Fleenor,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,0,Lost,,,TennesseeRepresentative1,Yes,
Robert Franklin,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,0,Lost,,,TennesseeRepresentative1,Yes,
Josh Gapp,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,14,Lost,,,TennesseeRepresentative1,Yes,
Diana Harshbarger,No,Yes,Tennessee,8/6/2020,Representative,1,Female,N/A,N/A,N/A,19,Won,,,TennesseeRepresentative1,Yes,yes
David Hawk,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,5,Lost,,,TennesseeRepresentative1,Yes,
Timothy Hill,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,17,Lost,,,TennesseeRepresentative1,Yes,
Chuck Miller,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,0,Lost,,,TennesseeRepresentative1,Yes,
Carter M. Quillen,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,1,Lost,,,TennesseeRepresentative1,Yes,
Nichole Williams,No,Yes,Tennessee,8/6/2020,Representative,1,Female,N/A,N/A,N/A,3,Lost,,,TennesseeRepresentative1,Yes,yes
Tim Burchett,Yes,No,Tennessee,8/6/2020,Representative,2,Male,N/A,N/A,N/A,100,Won,,,TennesseeRepresentative2,No,
Chuck Fleischmann,Yes,No,Tennessee,8/6/2020,Representative,3,Male,N/A,N/A,N/A,100,Won,,,TennesseeRepresentative3,No,
Scott DesJarlais,Yes,No,Tennessee,8/6/2020,Representative,4,Male,Yes,N/A,N/A,71,Won,,yes,TennesseeRepresentative4,No,
Doug Meyer,No,No,Tennessee,8/6/2020,Representative,4,Male,No,N/A,N/A,18,Lost,,,TennesseeRepresentative4,No,
Randy Sharp,No,No,Tennessee,8/6/2020,Representative,4,Male,No,N/A,N/A,11,Lost,,,TennesseeRepresentative4,No,
John Rose,Yes,No,Tennessee,8/6/2020,Representative,6,Male,N/A,N/A,N/A,100,Won,,,TennesseeRepresentative6,No,
Mark Green,Yes,No,Tennessee,8/6/2020,Representative,7,Male,N/A,N/A,N/A,100,Won,,,TennesseeRepresentative7,No,
David Kustoff,Yes,No,Tennessee,8/6/2020,Representative,8,Male,N/A,N/A,N/A,100,Won,,,TennesseeRepresentative8,No,
Charlotte Bergmann,No,Yes,Tennessee,8/6/2020,Representative,9,Female,N/A,N/A,N/A,100,Won,,,TennesseeRepresentative9,No,yes
Daniel McCarthy,No,No,Arizona,8/4/2020,Senator,N/A,Male,N/A,N/A,No,25,Lost,,,ArizonaSenatorN/A,Yes,
Martha McSally,Yes,No,Arizona,8/4/2020,Senator,N/A,Female,N/A,N/A,Yes,75,Won,,,ArizonaSenatorN/A,Yes,yes
Nolan Reidhead,No,Yes,Arizona,8/4/2020,Representative,1,Male,N/A,No,No,45,Lost,,,ArizonaRepresentative1,Yes,
Tiffany Shedd,No,Yes,Arizona,8/4/2020,Representative,1,Female,N/A,Yes,Yes,55,Won,,,ArizonaRepresentative1,Yes,yes
Brandon Martin,No,Yes,Arizona,8/4/2020,Representative,2,Male,N/A,N/A,N/A,43,Won,,,ArizonaRepresentative2,No,
Joseph Morgan,No,Yes,Arizona,8/4/2020,Representative,2,Male,N/A,N/A,N/A,24,Lost,,,ArizonaRepresentative2,No,
Noran Eric Ruden,No,Yes,Arizona,8/4/2020,Representative,2,Male,N/A,N/A,N/A,34,Lost,,,ArizonaRepresentative2,No,
Daniel Wood,No,Yes,Arizona,8/4/2020,Representative,3,Male,N/A,N/A,N/A,100,Won,,,ArizonaRepresentative3,No,
Paul Gosar,Yes,No,Arizona,8/4/2020,Representative,4,Male,Yes,N/A,N/A,63,Won,,yes,ArizonaRepresentative4,Yes,
Anne Marie Ward,No,No,Arizona,8/4/2020,Representative,4,Female,No,N/A,N/A,37,Lost,,,ArizonaRepresentative4,Yes,yes
Andy Biggs,Yes,No,Arizona,8/4/2020,Representative,5,Male,N/A,N/A,N/A,100,Won,,,ArizonaRepresentative5,No,
David Schweikert,Yes,No,Arizona,8/4/2020,Representative,6,Male,N/A,N/A,N/A,100,Won,,,ArizonaRepresentative6,No,
Joshua Barnett,No,Yes,Arizona,8/4/2020,Representative,7,Male,N/A,N/A,N/A,100,Won,,,ArizonaRepresentative7,No,
Debbie Lesko,Yes,No,Arizona,8/4/2020,Representative,8,Female,Yes,N/A,Yes,100,Won,,yes,ArizonaRepresentative8,No,yes
Dave Giles,No,Yes,Arizona,8/4/2020,Representative,9,Male,N/A,N/A,N/A,54,Won,,,ArizonaRepresentative9,No,
Sam Huang,No,Yes,Arizona,8/4/2020,Representative,9,Male,N/A,N/A,N/A,24,Lost,,,ArizonaRepresentative9,No,
Nicholas Tutora,No,Yes,Arizona,8/4/2020,Representative,9,Male,N/A,N/A,N/A,23,Lost,,,ArizonaRepresentative9,No,
Lance Berland,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,2,Lost,,,KansasSenatorN/A,No,
John Berman,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,0,Lost,,,KansasSenatorN/A,No,
Derek Ellis,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,1,Lost,,,KansasSenatorN/A,No,
Bob Hamilton,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,19,Lost,,,KansasSenatorN/A,No,
Kris Kobach,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,26,Lost,,,KansasSenatorN/A,No,
Dave Lindstrom,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,7,Lost,,,KansasSenatorN/A,No,
Roger Marshall,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,40,Won,,,KansasSenatorN/A,No,
Brian Matlock,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,2,Lost,,,KansasSenatorN/A,No,
John Miller,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,1,Lost,,,KansasSenatorN/A,No,
Steve Roberts,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,2,Lost,,,KansasSenatorN/A,No,
Gabriel Mark Robles,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,1,Lost,,,KansasSenatorN/A,No,
Bill Clifford,No,Yes,Kansas,8/4/2020,Representative,1,Male,N/A,N/A,N/A,33,Lost,,,KansasRepresentative1,No,
Tracey Mann,No,Yes,Kansas,8/4/2020,Representative,1,Male,N/A,N/A,N/A,54,Won,,,KansasRepresentative1,No,
Jerry Molstad,No,Yes,Kansas,8/4/2020,Representative,1,Male,N/A,N/A,N/A,8,Lost,,,KansasRepresentative1,No,
Michael Soetaert,No,Yes,Kansas,8/4/2020,Representative,1,Male,N/A,N/A,N/A,5,Lost,,,KansasRepresentative1,No,
Jake LaTurner,No,No,Kansas,8/4/2020,Representative,2,Male,N/A,N/A,N/A,49,Won,,,KansasRepresentative2,No,
Dennis Taylor,No,No,Kansas,8/4/2020,Representative,2,Male,N/A,N/A,N/A,17,Lost,,,KansasRepresentative2,No,
Steve Watkins,Yes,No,Kansas,8/4/2020,Representative,2,Male,N/A,N/A,N/A,34,Lost,,,KansasRepresentative2,No,
Amanda Adkins,No,Yes,Kansas,8/4/2020,Representative,3,Female,N/A,N/A,N/A,31,Won,,,KansasRepresentative3,Yes,yes
Mike Beehler,No,Yes,Kansas,8/4/2020,Representative,3,Male,N/A,N/A,N/A,19,Lost,,,KansasRepresentative3,Yes,
Adrienne Vallejo Foster,No,Yes,Kansas,8/4/2020,Representative,3,Female,N/A,N/A,N/A,20,Lost,,,KansasRepresentative3,Yes,yes
Tom Love,No,Yes,Kansas,8/4/2020,Representative,3,Male,N/A,N/A,N/A,7,Lost,,,KansasRepresentative3,Yes,
Sara Hart Weir,No,Yes,Kansas,8/4/2020,Representative,3,Female,N/A,N/A,N/A,23,Lost,,,KansasRepresentative3,Yes,yes
Ron Estes,Yes,No,Kansas,8/4/2020,Representative,4,Male,N/A,N/A,N/A,100,Won,,,KansasRepresentative4,No,
John James,No,Yes,Michigan,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,100,Won,,,MichiganSenatorN/A,No,
Jack Bergman,Yes,No,Michigan,8/4/2020,Representative,1,Male,N/A,N/A,N/A,100,Won,,,MichiganRepresentative1,No,
Bill Huizenga,Yes,No,Michigan,8/4/2020,Representative,2,Male,N/A,N/A,N/A,100,Won,,,MichiganRepresentative2,No,
Lynn Afendoulis,No,Yes,Michigan,8/4/2020,Representative,3,Female,N/A,N/A,N/A,26,Lost,,,MichiganRepresentative3,Yes,yes
Joe Farrington,No,Yes,Michigan,8/4/2020,Representative,3,Male,N/A,N/A,N/A,4,Lost,,,MichiganRepresentative3,Yes,
Peter Meijer,No,Yes,Michigan,8/4/2020,Representative,3,Male,N/A,N/A,N/A,50,Won,,,MichiganRepresentative3,Yes,
Thomas Norton,No,Yes,Michigan,8/4/2020,Representative,3,Male,N/A,N/A,N/A,16,Lost,,,MichiganRepresentative3,Yes,
Emily Rafi,No,Yes,Michigan,8/4/2020,Representative,3,Female,N/A,N/A,N/A,4,Lost,,,MichiganRepresentative3,Yes,yes
John Moolenaar,Yes,No,Michigan,8/4/2020,Representative,4,Male,N/A,N/A,N/A,100,Won,,,MichiganRepresentative4,No,
Tim Kelly,No,Yes,Michigan,8/4/2020,Representative,5,Male,N/A,N/A,N/A,79,Won,,,MichiganRepresentative5,No,
Earl Lackie,No,Yes,Michigan,8/4/2020,Representative,5,Male,N/A,N/A,N/A,21,Lost,,,MichiganRepresentative5,No,
Elena Oelke,No,No,Michigan,8/4/2020,Representative,6,Female,N/A,N/A,N/A,37,Lost,,,MichiganRepresentative6,Yes,yes
Fred Upton,Yes,No,Michigan,8/4/2020,Representative,6,Male,N/A,N/A,N/A,63,Won,,,MichiganRepresentative6,Yes,
Tim Walberg,Yes,No,Michigan,8/4/2020,Representative,7,Male,N/A,N/A,N/A,100,Won,,,MichiganRepresentative7,No,
Mike Detmer,No,Yes,Michigan,8/4/2020,Representative,8,Male,N/A,N/A,N/A,29,Lost,,,MichiganRepresentative8,Yes,
Alan Hoover,No,Yes,Michigan,8/4/2020,Representative,8,Male,N/A,N/A,N/A,11,Lost,,,MichiganRepresentative8,Yes,
Paul Junge,No,Yes,Michigan,8/4/2020,Representative,8,Male,N/A,N/A,N/A,35,Won,,,MichiganRepresentative8,Yes,
Kristina Lyke,No,Yes,Michigan,8/4/2020,Representative,8,Female,N/A,N/A,N/A,25,Lost,,,MichiganRepresentative8,Yes,yes
Gabi Grossbard,No,Yes,Michigan,8/4/2020,Representative,9,Male,N/A,N/A,N/A,43,Lost,,,MichiganRepresentative9,No,
Charles Langworthy,No,Yes,Michigan,8/4/2020,Representative,9,Male,N/A,N/A,N/A,57,Won,,,MichiganRepresentative9,No,
Shane Hernandez,No,Yes,Michigan,8/4/2020,Representative,10,Male,N/A,N/A,N/A,36,Lost,,,MichiganRepresentative10,Yes,
Lisa McClain,No,Yes,Michigan,8/4/2020,Representative,10,Female,N/A,N/A,N/A,42,Won,,,MichiganRepresentative10,Yes,yes
Doug Slocum,No,Yes,Michigan,8/4/2020,Representative,10,Male,N/A,N/A,N/A,22,Lost,,,MichiganRepresentative10,Yes,
Frank Acosta,No,Yes,Michigan,8/4/2020,Representative,11,Male,N/A,N/A,N/A,13,Lost,,,MichiganRepresentative11,Yes,
Kerry Bentivolio,No,Yes,Michigan,8/4/2020,Representative,11,Male,N/A,N/A,N/A,22,Lost,,,MichiganRepresentative11,Yes,
Eric Esshaki,No,Yes,Michigan,8/4/2020,Representative,11,Male,N/A,N/A,N/A,31,Won,,,MichiganRepresentative11,Yes,
Carmelita Greco,No,Yes,Michigan,8/4/2020,Representative,11,Female,N/A,N/A,N/A,23,Lost,,,MichiganRepresentative11,Yes,yes
Whittney Williams,No,Yes,Michigan,8/4/2020,Representative,11,Female,N/A,N/A,N/A,12,Lost,,,MichiganRepresentative11,Yes,yes
Jeff Jones,No,Yes,Michigan,8/4/2020,Representative,12,Male,N/A,N/A,N/A,100,Won,,,MichiganRepresentative12,No,
David Dudenhoefer,No,Yes,Michigan,8/4/2020,Representative,13,Male,N/A,N/A,N/A,48,Won,,,MichiganRepresentative13,Yes,
Al Lemmo,No,Yes,Michigan,8/4/2020,Representative,13,Male,N/A,N/A,N/A,18,Lost,,,MichiganRepresentative13,Yes,
Linda Sawyer,No,Yes,Michigan,8/4/2020,Representative,13,Female,N/A,N/A,N/A,35,Lost,,,MichiganRepresentative13,Yes,yes
Daryle F. Houston II,No,Yes,Michigan,8/4/2020,Representative,14,Male,N/A,N/A,N/A,35,Lost,,,MichiganRepresentative14,No,
R. Vance Patrick,No,Yes,Michigan,8/4/2020,Representative,14,Male,N/A,N/A,N/A,65,Won,,,MichiganRepresentative14,No,
Winnie Heartstrong,No,Yes,Missouri,8/4/2020,Representative,1,Female,N/A,N/A,N/A,38,Lost,,,MissouriRepresentative1,Yes,yes
Anthony Rogers,No,Yes,Missouri,8/4/2020,Representative,1,Male,N/A,N/A,N/A,62,Won,,,MissouriRepresentative1,Yes,
Ann Wagner,Yes,No,Missouri,8/4/2020,Representative,2,Female,N/A,N/A,Yes,100,Won,,,MissouriRepresentative2,No,yes
Brandon Wilkinson,No,No,Missouri,8/4/2020,Representative,3,Male,No,N/A,N/A,15,Lost,,,MissouriRepresentative3,Yes,
Adela Wisdom,No,No,Missouri,8/4/2020,Representative,3,Female,No,N/A,N/A,3,Lost,,,MissouriRepresentative3,Yes,yes
Blaine Luetkemeyer,Yes,No,Missouri,8/4/2020,Representative,3,Male,Yes,N/A,N/A,75,Won,,yes,MissouriRepresentative3,Yes,
Jeffrey Nowak,No,No,Missouri,8/4/2020,Representative,3,Male,No,N/A,N/A,3,Lost,,,MissouriRepresentative3,Yes,
Lynette Trares,No,No,Missouri,8/4/2020,Representative,3,Female,No,N/A,N/A,4,Lost,,,MissouriRepresentative3,Yes,yes
Neal Gist,No,No,Missouri,8/4/2020,Representative,4,Male,No,N/A,No,23,Lost,,,MissouriRepresentative4,Yes,
Vicky Hartzler,Yes,No,Missouri,8/4/2020,Representative,4,Female,Yes,N/A,Yes,77,Won,,yes,MissouriRepresentative4,Yes,yes
Clay Chastain,No,Yes,Missouri,8/4/2020,Representative,5,Male,N/A,N/A,N/A,19,Lost,,,MissouriRepresentative5,Yes,
Ryan Derks,No,Yes,Missouri,8/4/2020,Representative,5,Male,N/A,N/A,N/A,35,Won,,,MissouriRepresentative5,Yes,
Weldon Woodward,No,Yes,Missouri,8/4/2020,Representative,5,Male,N/A,N/A,N/A,6,Lost,,,MissouriRepresentative5,Yes,
Richonda Oaks,No,Yes,Missouri,8/4/2020,Representative,5,Female,N/A,N/A,N/A,5,Lost,,,MissouriRepresentative5,Yes,yes
"R H ""Twin Bears"" Hess",No,Yes,Missouri,8/4/2020,Representative,5,Male,N/A,N/A,N/A,6,Lost,,,MissouriRepresentative5,Yes,
Jerry Barham,No,Yes,Missouri,8/4/2020,Representative,5,Male,N/A,N/A,N/A,29,Lost,,,MissouriRepresentative5,Yes,
Sam Graves,Yes,No,Missouri,8/4/2020,Representative,6,Male,Yes,N/A,N/A,80,Won,,yes,MissouriRepresentative6,No,
Chris Ryan,No,No,Missouri,8/4/2020,Representative,6,Male,No,N/A,N/A,20,Lost,,,MissouriRepresentative6,No,
Eric Harleman,No,No,Missouri,8/4/2020,Representative,7,Male,No,N/A,N/A,11,Lost,,,MissouriRepresentative7,Yes,
Kevin VanStory,No,No,Missouri,8/4/2020,Representative,7,Male,No,N/A,N/A,10,Lost,,,MissouriRepresentative7,Yes,
Steve Chentnik,No,No,Missouri,8/4/2020,Representative,7,Male,No,N/A,N/A,7,Lost,,,MissouriRepresentative7,Yes,
Billy Long,Yes,No,Missouri,8/4/2020,Representative,7,Male,Yes,N/A,N/A,66,Won,,yes,MissouriRepresentative7,Yes,
Camille Lombardi-Olive,No,No,Missouri,8/4/2020,Representative,7,Female,No,N/A,N/A,6,Lost,,,MissouriRepresentative7,Yes,yes
Jason Smith,Yes,No,Missouri,8/4/2020,Representative,8,Male,Yes,N/A,N/A,100,Won,,yes,MissouriRepresentative8,No,
Raleigh Ritter,No,No,Missouri,8/4/2020,Governor,N/A,Male,No,N/A,N/A,4,Lost,,,MissouriGovernorN/A,Yes,
Mike Parson,Yes,No,Missouri,8/4/2020,Governor,N/A,Male,Yes,N/A,N/A,75,Won,,yes,MissouriGovernorN/A,Yes,
Jim Neely,No,No,Missouri,8/4/2020,Governor,N/A,Male,No,N/A,N/A,9,Lost,,,MissouriGovernorN/A,Yes,
Saundra McDowell,No,No,Missouri,8/4/2020,Governor,N/A,Female,No,N/A,N/A,12,Lost,,,MissouriGovernorN/A,Yes,yes
Derek Chartrand,No,Yes,Washington,8/4/2020,Representative,1,Male,N/A,N/A,N/A,16,Lost,,,WashingtonRepresentative1,No,
Jeffrey Beeler,No,Yes,Washington,8/4/2020,Representative,1,Male,N/A,N/A,N/A,84,Advanced,,,WashingtonRepresentative1,No,
Tim Hazelo,No,Yes,Washington,8/4/2020,Representative,2,Male,N/A,N/A,N/A,40,Advanced,,,WashingtonRepresentative2,Yes,
Tim Uy,No,Yes,Washington,8/4/2020,Representative,2,Male,N/A,N/A,N/A,26,Lost,,,WashingtonRepresentative2,Yes,
Kari Ilonummi,No,Yes,Washington,8/4/2020,Representative,2,Male,N/A,N/A,N/A,3,Lost,,UPDATED,WashingtonRepresentative2,Yes,
James Golder,No,Yes,Washington,8/4/2020,Representative,2,Male,N/A,N/A,N/A,6,Lost,,,WashingtonRepresentative2,Yes,
Carrie Kennedy,No,Yes,Washington,8/4/2020,Representative,2,Female,N/A,N/A,N/A,10,Lost,,,WashingtonRepresentative2,Yes,yes
Cody Hart,No,Yes,Washington,8/4/2020,Representative,2,Male,N/A,N/A,N/A,15,Lost,,,WashingtonRepresentative2,Yes,
Jaime Herrera Beutler,Yes,No,Washington,8/4/2020,Representative,3,Female,N/A,N/A,Yes,100,Advanced,,,WashingtonRepresentative3,No,yes
"Tracy ""Justice"" Wright",No,No,Washington,8/4/2020,Representative,4,Female,No,N/A,N/A,7,Lost,,,WashingtonRepresentative4,Yes,yes
Sarena Sloot,No,No,Washington,8/4/2020,Representative,4,Female,No,N/A,N/A,10,Lost,,,WashingtonRepresentative4,Yes,yes
Dan Newhouse,Yes,No,Washington,8/4/2020,Representative,4,Male,Yes,N/A,N/A,83,Advanced,,yes,WashingtonRepresentative4,Yes,
Stephen T. Major,No,No,Washington,8/4/2020,Representative,5,Male,No,N/A,No,14,Lost,,,WashingtonRepresentative5,Yes,
Cathy McMorris Rodgers,Yes,No,Washington,8/4/2020,Representative,5,Female,Yes,N/A,Yes,86,Advanced,,yes,WashingtonRepresentative5,Yes,yes
Elizabeth Kreiselmaier,No,Yes,Washington,8/4/2020,Representative,6,Female,N/A,N/A,N/A,69,Advanced,,,WashingtonRepresentative6,Yes,yes
Chris Welton,No,Yes,Washington,8/4/2020,Representative,6,Male,N/A,N/A,N/A,14,Lost,,,WashingtonRepresentative6,Yes,
Stephan Brodhead,No,Yes,Washington,8/4/2020,Representative,6,Male,N/A,N/A,N/A,9,Lost,,,WashingtonRepresentative6,Yes,
Johny Alberg,No,Yes,Washington,8/4/2020,Representative,6,Male,N/A,N/A,N/A,7,Lost,,,WashingtonRepresentative6,Yes,
Scott Sutherland,No,Yes,Washington,8/4/2020,Representative,7,Male,N/A,N/A,N/A,32,Lost,,,WashingtonRepresentative7,No,
Craig Keller,No,Yes,Washington,8/4/2020,Representative,7,Male,N/A,N/A,N/A,68,Advanced,,,WashingtonRepresentative7,No,
Jesse Jensen,No,Yes,Washington,8/4/2020,Representative,8,Male,N/A,N/A,N/A,41,Advanced,,,WashingtonRepresentative8,No,
Dave Saulibio,No,Yes,Washington,8/4/2020,Representative,8,Male,N/A,N/A,N/A,24,Lost,,,WashingtonRepresentative8,No,
Keith Swank,No,Yes,Washington,8/4/2020,Representative,8,Male,N/A,N/A,N/A,35,Lost,,,WashingtonRepresentative8,No,
Joshua Campbell,No,Yes,Washington,8/4/2020,Representative,9,Male,N/A,N/A,N/A,34,Lost,,,WashingtonRepresentative9,No,
Doug Basler,No,Yes,Washington,8/4/2020,Representative,9,Male,N/A,N/A,N/A,66,Advanced,,,WashingtonRepresentative9,No,
Jackson Maynard,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,20,Lost,,,WashingtonRepresentative10,Yes,
Nancy Dailey Slotnick,No,Yes,Washington,8/4/2020,Representative,10,Female,N/A,N/A,N/A,16,Lost,,,WashingtonRepresentative10,Yes,yes
Rian Ingrim,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,27,Lost,,,WashingtonRepresentative10,Yes,
Gordon Allen Pross,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,1,Lost,,,WashingtonRepresentative10,Yes,
Don Hewett,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,11,Lost,,,WashingtonRepresentative10,Yes,
Dean Johnson,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,18,Lost,,,WashingtonRepresentative10,Yes,
Ryan Tate,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,4,Lost,,,WashingtonRepresentative10,Yes,
Ralph Johnson,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,2,Lost,,,WashingtonRepresentative10,Yes,
