,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Laique Rehman,Male,Asian,,,?,3/5/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,7,977,5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lance Stewart,Male,White,,,N/A,,Maya,,No,No,Texas,3/1/2022,Representative,7,"1,764",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tim Stroud,Male,White,,,Yes,2/28/2023,Nathaniel,"""Take Rudy Atencio, candidate for the District 7 congressional seat. He came across as smart and reasonable, if scripted, until he told us he was convinced that Joe Biden’s mostly stay-at-home campaign strategy never could have defeated Trump, no matter what the election totals say. On a follow-up call, he told us Trump may have lost the popular vote but the Electoral College vote just had to have been stolen.""",No,No,Texas,3/1/2022,Representative,7,"6,346",29%,Made runoff,"5,239",36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Johnny Teague,Male,White,,,?,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,7,"9,293",43%,Made runoff,"9,152",64%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Betsy Bates,Female,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,8,712,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Candice C. Burrows,Female,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,8,"1,519",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Christian Collins,Male,White,,,Yes,3/5/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,8,"14,659",22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jonathan Hullihan,Male,White,,,Yes,,Maya,,No,No,Texas,3/1/2022,Representative,8,"8,296",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Morgan Luttrell,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,8,"34,271",52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan McKaughan,Male,White,,,N/A,2/28/2023,Nathaniel,,No,No,Texas,3/1/2022,Representative,8,"1,585",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jonathan A. Mitchell,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,8,791,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chuck Montgomery,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,8,"1,169",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Philips,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,8,871,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jessica Wellington,Female,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,8,"1,550",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Taylor M. Whichard IV,Male,White,,,N/A,3/5/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,8,295,0%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jimmy I. Leon,Male,Unknown,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,9,"10,503",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael McCaul,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Voted to certify election results, but has concerns about election integrity",Yes,No,Texas,3/1/2022,Representative,10,"63,920",100%,Won,N/A,N/A,N/A,Yes,11/11/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
August Pfluger,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,11,"61,479",100%,Won,N/A,N/A,N/A,Yes,11/9/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ryan J. Catala,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Representative,12,"8,759",14%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Kay Granger,Female,White,,,No,12/1/2022,N/A (checked against interactive),,Yes,No,Texas,3/1/2022,Representative,12,"46,779",75%,Won,N/A,N/A,N/A,Yes,2/17/2022,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
