Personal Data,,,,,,,,Endorsement Data,,,,,,,,,,Electoral Data,,,,Factchecking Columns,,
Candidate,Incumbent,Open Primary,State,Primary Date,Office,District,Gender,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sanders,AOC,Party Committee,Biden,Obama,Primary %,Primary Outcome,"Checked? (not H, I, T)",,Man vs. Woman?,"Checked? inc. H, I, T, W",Notes
Michael Beardsley,No,Yes,Wisconsin,8/11/2020,Representative,6,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,Lost,,WisconsinRepresentative6,Yes,,
Jessica King,No,Yes,Wisconsin,8/11/2020,Representative,6,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,Won,,WisconsinRepresentative6,Yes,yes,
Tricia Zunker,No,Yes,Wisconsin,8/11/2020,Representative,7,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,WisconsinRepresentative7,No,yes,
Amanda Stuck,No,Yes,Wisconsin,8/11/2020,Representative,8,Female,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,yes,WisconsinRepresentative8,No,yes,
Ed Case,Yes,No,Hawaii,8/8/2020,Representative,1,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,HawaiiRepresentative1,No,,
Brian Evans,No,Yes,Hawaii,8/8/2020,Representative,2,Male,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,9,Lost,,HawaiiRepresentative2,Yes,,
Noelle Famera,No,Yes,Hawaii,8/8/2020,Representative,2,Female,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,6,Lost,,HawaiiRepresentative2,Yes,yes,
Kai Kahele,No,Yes,Hawaii,8/8/2020,Representative,2,Male,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,76,Won,yes,HawaiiRepresentative2,Yes,,
Brenda L. Machado Lee,No,Yes,Hawaii,8/8/2020,Representative,2,Female,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,8,Lost,,HawaiiRepresentative2,Yes,yes,
Marquita Bradshaw,No,Yes,Tennessee,8/6/2020,Senator,N/A,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,36,Won,,TennesseeSenatorN/A,Yes,yes,
Gary Davis,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,9,Lost,,TennesseeSenatorN/A,Yes,,
Robin Kimbrough,No,Yes,Tennessee,8/6/2020,Senator,N/A,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,27,Lost,,TennesseeSenatorN/A,Yes,yes,
James Mackler,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,24,Lost,yes,TennesseeSenatorN/A,Yes,,
Mark Pickrell,No,Yes,Tennessee,8/6/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,5,Lost,,TennesseeSenatorN/A,Yes,,
Chris Rowe,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34,Lost,,TennesseeRepresentative1,Yes,,
Larry Smith,No,Yes,Tennessee,8/6/2020,Representative,1,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,Lost,,TennesseeRepresentative1,Yes,,
Blair Walsingham,No,Yes,Tennessee,8/6/2020,Representative,1,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Won,,TennesseeRepresentative1,Yes,yes,
Chance Brown,No,Yes,Tennessee,8/6/2020,Representative,2,Male,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,Lost,,TennesseeRepresentative2,Yes,,
Renee Hoyos,No,Yes,Tennessee,8/6/2020,Representative,2,Female,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,Won,yes,TennesseeRepresentative2,Yes,yes,
Meg Gorman,No,Yes,Tennessee,8/6/2020,Representative,3,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,TennesseeRepresentative3,No,yes,
Noelle Bivens,No,Yes,Tennessee,8/6/2020,Representative,4,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,Lost,,TennesseeRepresentative4,Yes,yes,
Christopher Hale,No,Yes,Tennessee,8/6/2020,Representative,4,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59,Won,,TennesseeRepresentative4,Yes,,
Jim Cooper,Yes,No,Tennessee,8/6/2020,Representative,5,Male,N/A,N/A,No,No,No,N/A,N/A,N/A,N/A,N/A,57,Won,,TennesseeRepresentative5,Yes,,
Keeda J. Haynes,No,No,Tennessee,8/6/2020,Representative,5,Female,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,40,Lost,yes,TennesseeRepresentative5,Yes,yes,didn't confirm middle initial
Joshua Rawlings,No,No,Tennessee,8/6/2020,Representative,5,Male,N/A,N/A,No,No,No,N/A,N/A,N/A,N/A,N/A,3,Lost,,TennesseeRepresentative5,Yes,,
Christopher Finley,No,Yes,Tennessee,8/6/2020,Representative,6,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,TennesseeRepresentative6,No,,
Kiran Sreepada,No,Yes,Tennessee,8/6/2020,Representative,7,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,TennesseeRepresentative7,No,,
Erika Stotts Pearson,No,Yes,Tennessee,8/6/2020,Representative,8,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51,Won,,TennesseeRepresentative8,Yes,yes,
Larry Pivnick,No,Yes,Tennessee,8/6/2020,Representative,8,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,Lost,,TennesseeRepresentative8,Yes,,
Hollis Skinner,No,Yes,Tennessee,8/6/2020,Representative,8,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,Lost,,TennesseeRepresentative8,Yes,,
Savannah Williamson,No,Yes,Tennessee,8/6/2020,Representative,8,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,Lost,,TennesseeRepresentative8,Yes,,
Leo Awgowhat,No,No,Tennessee,8/6/2020,Representative,9,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,Lost,,TennesseeRepresentative9,No,,
Steve Cohen,Yes,No,Tennessee,8/6/2020,Representative,9,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,Won,,TennesseeRepresentative9,No,,
Corey Strong,No,No,Tennessee,8/6/2020,Representative,9,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,Lost,,TennesseeRepresentative9,No,,
Mark Kelly,No,Yes,Arizona,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,100,Won,yes,ArizonaSenatorN/A,No,,
Tom O'Halleran,Yes,No,Arizona,8/4/2020,Representative,1,Male,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,59,Won,,ArizonaRepresentative1,Yes,,
Eva Putzova,No,No,Arizona,8/4/2020,Representative,1,Female,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,41,Lost,yes,ArizonaRepresentative1,Yes,yes,
Ann Kirkpatrick,Yes,No,Arizona,8/4/2020,Representative,2,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,Won,,ArizonaRepresentative2,Yes,yes,
Peter Quilter,No,No,Arizona,8/4/2020,Representative,2,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,Lost,,ArizonaRepresentative2,Yes,,
Raúl Grijalva,Yes,No,Arizona,8/4/2020,Representative,3,Male,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,100,Won,yes,ArizonaRepresentative3,No,,
Delina DiSanto,No,Yes,Arizona,8/4/2020,Representative,4,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74,Won,,ArizonaRepresentative4,Yes,yes,
Stuart Starky,No,Yes,Arizona,8/4/2020,Representative,4,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,Lost,,ArizonaRepresentative4,Yes,,
Joan Greene,No,Yes,Arizona,8/4/2020,Representative,5,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Won,,ArizonaRepresentative5,Yes,yes,
Jon Ireland,No,Yes,Arizona,8/4/2020,Representative,5,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,Lost,,ArizonaRepresentative5,Yes,,
Javier Ramos,No,Yes,Arizona,8/4/2020,Representative,5,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,Lost,,ArizonaRepresentative5,Yes,,
Karl Gentles,No,Yes,Arizona,8/4/2020,Representative,6,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,5,Lost,,ArizonaRepresentative6,Yes,,
Anita Malik,No,Yes,Arizona,8/4/2020,Representative,6,Female,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,37,Lost,,ArizonaRepresentative6,Yes,yes,
Stephanie Rimmer,No,Yes,Arizona,8/4/2020,Representative,6,Female,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,6,Lost,,ArizonaRepresentative6,Yes,yes,
Hiral Tipirneni,No,Yes,Arizona,8/4/2020,Representative,6,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,53,Won,yes,ArizonaRepresentative6,Yes,yes,
Ruben Gallego,Yes,No,Arizona,8/4/2020,Representative,7,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,ArizonaRepresentative7,No,,
Michael Muscato,No,Yes,Arizona,8/4/2020,Representative,8,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,Won,,ArizonaRepresentative8,No,,
Bob Musselwhite,No,Yes,Arizona,8/4/2020,Representative,8,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,Lost,,ArizonaRepresentative8,No,,
Bob Olsen,No,Yes,Arizona,8/4/2020,Representative,8,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31,Lost,,ArizonaRepresentative8,No,,
Greg Stanton,Yes,No,Arizona,8/4/2020,Representative,9,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,ArizonaRepresentative9,No,,
Barbara Bollier,No,Yes,Kansas,8/4/2020,Senator,N/A,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,85,Won,yes,KansasSenatorN/A,Yes,yes,
Robert Tillman,No,Yes,Kansas,8/4/2020,Senator,N/A,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,15,Lost,,KansasSenatorN/A,Yes,,
Kali Barnett,No,Yes,Kansas,8/4/2020,Representative,1,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,Won,,KansasRepresentative1,No,yes,
Christy Cauble Davis,No,Yes,Kansas,8/4/2020,Representative,1,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,Lost,,KansasRepresentative1,No,yes,
Michelle De La Isla,No,Yes,Kansas,8/4/2020,Representative,2,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,75,Won,yes,KansasRepresentative2,Yes,yes,
James Windholz,No,Yes,Kansas,8/4/2020,Representative,2,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,25,Lost,,KansasRepresentative2,Yes,,
Sharice Davids,Yes,No,Kansas,8/4/2020,Representative,3,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,KansasRepresentative3,No,yes,
Laura Lombard,No,Yes,Kansas,8/4/2020,Representative,4,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,KansasRepresentative4,No,yes,
Gary Peters,Yes,No,Michigan,8/4/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MichiganSenatorN/A,No,,
Dana Ferguson,No,Yes,Michigan,8/4/2020,Representative,1,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64,Won,,MichiganRepresentative1,Yes,,
Linda O'Dell,No,Yes,Michigan,8/4/2020,Representative,1,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,Lost,,MichiganRepresentative1,Yes,yes,
Bryan Berghoef,No,Yes,Michigan,8/4/2020,Representative,2,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MichiganRepresentative2,No,,
Hillary Scholten,No,Yes,Michigan,8/4/2020,Representative,3,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,100,Won,yes,MichiganRepresentative3,No,yes,
Anthony Feig,No,Yes,Michigan,8/4/2020,Representative,4,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,Lost,,MichiganRepresentative4,No,,
Jerry Hilliard,No,Yes,Michigan,8/4/2020,Representative,4,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,Won,,MichiganRepresentative4,No,,
Dan Kildee,Yes,No,Michigan,8/4/2020,Representative,5,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MichiganRepresentative5,No,,
Jon Hoadley,No,Yes,Michigan,8/4/2020,Representative,6,Male,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,52,Won,yes,MichiganRepresentative6,Yes,,
Jen Richardson,No,Yes,Michigan,8/4/2020,Representative,6,Female,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,48,Lost,,MichiganRepresentative6,Yes,yes,
Gretchen Driskell,No,Yes,Michigan,8/4/2020,Representative,7,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MichiganRepresentative7,No,yes,
Elissa Slotkin,Yes,No,Michigan,8/4/2020,Representative,8,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MichiganRepresentative8,No,yes,
Andy Levin,Yes,No,Michigan,8/4/2020,Representative,9,Male,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,yes,MichiganRepresentative9,No,,
Kimberly Bizon,No,Yes,Michigan,8/4/2020,Representative,10,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,Won,,MichiganRepresentative10,No,yes,
Kelly Noland,No,Yes,Michigan,8/4/2020,Representative,10,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,Lost,,MichiganRepresentative10,No,yes,
Haley Stevens,Yes,No,Michigan,8/4/2020,Representative,11,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MichiganRepresentative11,No,yes,
Debbie Dingell,Yes,No,Michigan,8/4/2020,Representative,12,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81,Won,,MichiganRepresentative12,Yes,yes,
Solomon Rajput,No,No,Michigan,8/4/2020,Representative,12,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19,Lost,,MichiganRepresentative12,Yes,,
Brenda Jones,No,No,Michigan,8/4/2020,Representative,13,Female,N/A,No,N/A,No,No,No,No,N/A,N/A,N/A,34,Lost,,MichiganRepresentative13,No,yes,
Rashida Tlaib,Yes,No,Michigan,8/4/2020,Representative,13,Female,N/A,Yes,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,66,Won,yes,MichiganRepresentative13,No,yes,
Brenda Lawrence,Yes,No,Michigan,8/4/2020,Representative,14,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,Won,,MichiganRepresentative14,Yes,yes,
Terrance Morrison,No,No,Michigan,8/4/2020,Representative,14,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,Lost,,MichiganRepresentative14,Yes,,
Cori Bush,No,No,Missouri,8/4/2020,Representative,1,Female,N/A,Yes,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,49,Won,yes,MissouriRepresentative1,Yes,yes,
Lacy Clay,Yes,No,Missouri,8/4/2020,Representative,1,Male,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,46,Lost,,MissouriRepresentative1,Yes,,
Kat Bruckner,No,No,Missouri,8/4/2020,Representative,1,Female,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,6,Lost,,MissouriRepresentative1,Yes,yes,
Jill Schupp,No,Yes,Missouri,8/4/2020,Representative,2,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,100,Won,yes,MissouriRepresentative2,No,yes,
Megan Rezabek,No,Yes,Missouri,8/4/2020,Representative,3,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,Won,,MissouriRepresentative3,Yes,yes,
Dennis Oglesby,No,Yes,Missouri,8/4/2020,Representative,3,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,Lost,,MissouriRepresentative3,Yes,,
Lindsey Simmons,No,Yes,Missouri,8/4/2020,Representative,4,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MissouriRepresentative4,No,yes,
Emanuel Cleaver,Yes,No,Missouri,8/4/2020,Representative,5,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,Won,,MissouriRepresentative5,Yes,,
Maite Salazar,No,No,Missouri,8/4/2020,Representative,5,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,Lost,,MissouriRepresentative5,Yes,yes,
Ramona Farris,No,Yes,Missouri,8/4/2020,Representative,6,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,Lost,,MissouriRepresentative6,Yes,yes,
Charles West,No,Yes,Missouri,8/4/2020,Representative,6,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,Lost,,MissouriRepresentative6,Yes,,
Gena Ross,No,Yes,Missouri,8/4/2020,Representative,6,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,Won,,MissouriRepresentative6,Yes,yes,
Henry Martin,No,Yes,Missouri,8/4/2020,Representative,6,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,Lost,,MissouriRepresentative6,Yes,,
Donald Robert Sartain,No,Yes,Missouri,8/4/2020,Representative,6,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,Lost,,MissouriRepresentative6,Yes,,
Teresa Montseny,No,Yes,Missouri,8/4/2020,Representative,7,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,MissouriRepresentative7,No,yes,
Kathy Ellis,No,Yes,Missouri,8/4/2020,Representative,8,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won ,,MissouriRepresentative8,No,yes,
Nicole Galloway,No,Yes,Missouri,8/4/2020,Governor,N/A,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,Won,,MissouriGovernorN/A,Yes,yes,
Jimmie Matthews,No,Yes,Missouri,8/4/2020,Governor,N/A,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,Lost,,MissouriGovernorN/A,Yes,,
Antoin Johnson,No,Yes,Missouri,8/4/2020,Governor,N/A,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,Lost,,MissouriGovernorN/A,Yes,,
Eric Morrison,No,Yes,Missouri,8/4/2020,Governor,N/A,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,Lost,,MissouriGovernorN/A,Yes,,
Robin Van Quaethem,No,Yes,Missouri,8/4/2020,Governor,N/A,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,Lost,,MissouriGovernorN/A,Yes,,
Suzan DelBene,Yes,No,Washington,8/4/2020,Representative,1,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Advanced,,WashingtonRepresentative1,No,yes,
Rick Larsen,Yes,No,Washington,8/4/2020,Representative,2,Male,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,78,Advanced,,WashingtonRepresentative2,No,,
Jason Call,No,No,Washington,8/4/2020,Representative,2,Male,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,22,Lost,yes,WashingtonRepresentative2,No,,
Davy Ray,No,Yes,Washington,8/4/2020,Representative,3,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,3,Lost,,WashingtonRepresentative3,Yes,,
Carolyn Long,No,Yes,Washington,8/4/2020,Representative,3,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,95,Advanced,yes,WashingtonRepresentative3,Yes,yes,
Devin Gray,No,Yes,Washington,8/4/2020,Representative,3,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,2,Lost,,WashingtonRepresentative3,Yes,,
Doug McKinley,No,Yes,Washington,8/4/2020,Representative,4,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Advanced,,WashingtonRepresentative4,No,,
Chris Armitage,No,Yes,Washington,8/4/2020,Representative,5,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,Lost,,WashingtonRepresentative5,No,,
Dave Wilson,No,Yes,Washington,8/4/2020,Representative,5,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,Advanced,,WashingtonRepresentative5,No,,
Rebecca Parson,No,No,Washington,8/4/2020,Representative,6,Female,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,22,Lost,yes,WashingtonRepresentative6,Yes,yes,
Derek Kilmer,Yes,No,Washington,8/4/2020,Representative,6,Male,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,78,Advanced,,WashingtonRepresentative6,Yes,,
Jack Hughes-Hageman,No,No,Washington,8/4/2020,Representative,7,Male,N/A,No,N/A,No,No,No,No,N/A,N/A,N/A,4,Lost,,WashingtonRepresentative7,Yes,,
Pramila Jayapal,Yes,No,Washington,8/4/2020,Representative,7,Female,N/A,Yes,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,96,Advanced,yes,WashingtonRepresentative7,Yes,yes,
James Mitchell,No,No,Washington,8/4/2020,Representative,8,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,Lost,,WashingtonRepresentative8,Yes,,
Kim Schrier,Yes,No,Washington,8/4/2020,Representative,8,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,Advanced,,WashingtonRepresentative8,Yes,yes,
Keith Arnold,No,No,Washington,8/4/2020,Representative,8,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,Lost,,WashingtonRepresentative8,Yes,,
Adam Smith,Yes,No,Washington,8/4/2020,Representative,9,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Advanced,,WashingtonRepresentative9,No,,
Kristine Reeves,No,Yes,Washington,8/4/2020,Representative,10,Female,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,24,Lost,,WashingtonRepresentative10,Yes,yes,
Mary Bacon,No,Yes,Washington,8/4/2020,Representative,10,Female,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,3,Lost,,WashingtonRepresentative10,Yes,yes,
Beth Doglio,No,Yes,Washington,8/4/2020,Representative,10,Female,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,28,Advanced,yes,WashingtonRepresentative10,Yes,yes,
Phil Gardner,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,4,Lost,,WashingtonRepresentative10,Yes,,
Eric LeMay,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,2,Lost,,WashingtonRepresentative10,Yes,,
Marilyn Strickland,No,Yes,Washington,8/4/2020,Representative,10,Female,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,37,Advanced,,WashingtonRepresentative10,Yes,yes,
Sam Wright,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,1,Lost,,WashingtonRepresentative10,Yes,,
Randy Bell,No,Yes,Washington,8/4/2020,Representative,10,Male,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,0,Lost,,WashingtonRepresentative10,Yes,,
Omari Tahir-Garrett,No,No,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,Lost,,WashingtonGovernorN/A,No,,
Don L. Rivers,No,No,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,Lost,,WashingtonGovernorN/A,No,,
Gene Hart,No,No,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,Lost,,WashingtonGovernorN/A,No,,
Cairo D'Almeida,No,No,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,Lost,,WashingtonGovernorN/A,No,,
Jay Inslee,Yes,No,Washington,8/4/2020,Governor,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95,Advanced,,WashingtonGovernorN/A,No,,
Sara Gideon,No,Yes,Maine,7/14/2020,Senator,N/A,Female,Yes,No,N/A,N/A,No,N/A,N/A,Yes,N/A,N/A,71,Won,yes,MaineSenatorN/A,No,yes,
Bre Kidman,No,Yes,Maine,7/14/2020,Senator,N/A,N/A,No,No,N/A,N/A,No,N/A,N/A,No,N/A,N/A,6,Lost,,MaineSenatorN/A,No,yes,
Betsy Sweet,No,Yes,Maine,7/14/2020,Senator,N/A,Female,No,Yes,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,23,Lost,yes,MaineSenatorN/A,No,yes,
