Personal Data,,,,,,,,Endorsement Data,,,,,,,,,,Electoral Data,,,,Factchecking Columns,,
Candidate,Incumbent,Open Primary,State,Primary Date,Office,District,Gender,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sanders,AOC,Party Committee,Biden,Obama,Primary %,Primary Outcome,"Checked? (not H, I, T)",,Man vs. Woman?,"Checked? inc. H, I, T, W",Notes
Bill Keating,Yes,No,Massachusetts,9/1/2020,Representative,9,Male,,,,,,,,,N/A,N/A,,,UPDATED,,,,
Al Gross,No,Yes,Alaska,8/18/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,74,Won,yes,AlaskaSenatorN/A,No,,
John Wayne Howe,No,Yes,Alaska,8/18/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,10,Lost,UPDATED,AlaskaSenatorN/A,No,,
Chris Cumings,No,Yes,Alaska,8/18/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,6,Lost,UPDATED,AlaskaSenatorN/A,No,,
Edgar Blatchford,No,Yes,Alaska,8/18/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,10,Lost,UPDATED,AlaskaSenatorN/A,No,,
Alyse Galvin,No,Yes,Alaska,8/18/2020,Representative,At-Large,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,80,Won,yes,AlaskaRepresentativeAt-Large,Yes,yes,
Ray Sean Tugatuk,No,Yes,Alaska,8/18/2020,Representative,At-Large,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,11,Lost,UPDATED,AlaskaRepresentativeAt-Large,Yes,,
Bill Hibler,No,Yes,Alaska,8/18/2020,Representative,At-Large,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,9,Lost,UPDATED,AlaskaRepresentativeAt-Large,Yes,,
Phil Ehr,No,Yes,Florida,8/18/2020,Representative,1,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative1,No,,
Adam Christensen,No,Yes,Florida,8/18/2020,Representative,3,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35,Won,UPDATED,FloridaRepresentative3,No,,
Philip Dodds,No,Yes,Florida,8/18/2020,Representative,3,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32,Lost,UPDATED,FloridaRepresentative3,No,,
Tom Wells,No,Yes,Florida,8/18/2020,Representative,3,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,Lost,UPDATED,FloridaRepresentative3,No,,
Donna Deegan,No,Yes,Florida,8/18/2020,Representative,4,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative4,No,yes,
Albert Chester,No,No,Florida,8/18/2020,Representative,5,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,Lost,,FloridaRepresentative5,Yes,,
"LaShonda ""L.J."" Holloway",No,No,Florida,8/18/2020,Representative,5,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,Lost,,FloridaRepresentative5,Yes,yes,
Al Lawson,Yes,No,Florida,8/18/2020,Representative,5,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,Won,,FloridaRepresentative5,Yes,,
Clint Curtis,No,Yes,Florida,8/18/2020,Representative,6,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,Won,,FloridaRepresentative6,No,,
Richard Thripp,No,Yes,Florida,8/18/2020,Representative,6,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49,Lost,,FloridaRepresentative6,No,,
Stephanie Murphy,Yes,No,Florida,8/18/2020,Representative,7,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative7,No,yes,
Jim Kennedy,No,Yes,Florida,8/18/2020,Representative,8,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative8,No,,
Darren Soto,Yes,No,Florida,8/18/2020,Representative,9,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative9,No,,
Val Demings,Yes,No,Florida,8/18/2020,Representative,10,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative10,No,yes,
Dana Cottrell,No,Yes,Florida,8/18/2020,Representative,11,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative11,No,yes,
Kimberly Walker,No,Yes,Florida,8/18/2020,Representative,12,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative12,No,yes,
Charlie Crist,Yes,No,Florida,8/18/2020,Representative,13,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative13,No,,
Kathy Castor,Yes,No,Florida,8/18/2020,Representative,14,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative14,No,yes,
Alan Cohn,No,Yes,Florida,8/18/2020,Representative,15,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,Won,,FloridaRepresentative15,No,,
Adam Hattersley,No,Yes,Florida,8/18/2020,Representative,15,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,Lost,,FloridaRepresentative15,No,,
Jesse Philippe,No,Yes,Florida,8/18/2020,Representative,15,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,Lost,,FloridaRepresentative15,No,,
Margaret Good,No,Yes,Florida,8/18/2020,Representative,16,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,100,Won,yes,FloridaRepresentative16,No,yes,
Allen Ellison,No,Yes,Florida,8/18/2020,Representative,17,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative17,No,,
Pam Keith,No,Yes,Florida,8/18/2020,Representative,18,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,Won,,FloridaRepresentative18,Yes,yes,
Oz Vazquez,No,Yes,Florida,8/18/2020,Representative,18,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,Lost,,FloridaRepresentative18,Yes,,
Cindy Banyai,No,Yes,Florida,8/18/2020,Representative,19,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,Won,,FloridaRepresentative19,Yes,yes,
David Holden,No,Yes,Florida,8/18/2020,Representative,19,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,Lost,,FloridaRepresentative19,Yes,,
Sheila Cherfilus-McCormick,No,No,Florida,8/18/2020,Representative,20,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31,Lost,,FloridaRepresentative20,Yes,yes,
Alcee Hastings,Yes,No,Florida,8/18/2020,Representative,20,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,Won,,FloridaRepresentative20,Yes,,
Lois Frankel,Yes,No,Florida,8/18/2020,Representative,21,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,Won,,FloridaRepresentative21,Yes,yes,
Guido Weiss,No,No,Florida,8/18/2020,Representative,21,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,Lost,,FloridaRepresentative21,Yes,,
Ted Deutch,Yes,No,Florida,8/18/2020,Representative,22,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative22,No,,
Jen Perelman,No,No,Florida,8/18/2020,Representative,23,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28,Lost,,FloridaRepresentative23,No,yes,
Debbie Wasserman Schultz,Yes,No,Florida,8/18/2020,Representative,23,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72,Won,,FloridaRepresentative23,No,yes,
Ricardo De La Fuente,No,No,Florida,8/18/2020,Representative,24,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,Lost,,FloridaRepresentative24,Yes,,
Sakinah Lehtola,No,No,Florida,8/18/2020,Representative,24,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,Lost,,FloridaRepresentative24,Yes,yes,
Frederica Wilson,Yes,No,Florida,8/18/2020,Representative,24,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,Won,,FloridaRepresentative24,Yes,yes,
Debbie Mucarsel-Powell,Yes,No,Florida,8/18/2020,Representative,26,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative26,No,yes,
Donna Shalala,Yes,No,Florida,8/18/2020,Representative,27,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,FloridaRepresentative27,No,yes,
James Kirk DeBrine,No,Yes,Wyoming,8/18/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,Lost,,WyomingSenatorN/A,Yes,,
Kenneth R. Casner,No,Yes,Wyoming,8/18/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,Lost,,WyomingSenatorN/A,Yes,,
Merav Ben-David,No,Yes,Wyoming,8/18/2020,Senator,N/A,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,Won,,WyomingSenatorN/A,Yes,yes,
Nathan Wendt,No,Yes,Wyoming,8/18/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,Lost,,WyomingSenatorN/A,Yes,,
Rex Wilde,No,Yes,Wyoming,8/18/2020,Senator,N/A,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,Lost,,WyomingSenatorN/A,Yes,,
Yana Ludwig,No,Yes,Wyoming,8/18/2020,Senator,N/A,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,Lost,,WyomingSenatorN/A,Yes,yes,
Carl Beach,No,Yes,Wyoming,8/18/2020,Representative,At-Large,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,Lost,,WyomingRepresentativeAt-Large,Yes,,
Carol Hafner,No,Yes,Wyoming,8/18/2020,Representative,At-Large,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,Lost,,WyomingRepresentativeAt-Large,Yes,yes,
Lynnette Grey Bull,No,Yes,Wyoming,8/18/2020,Representative,At-Large,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,Won,,WyomingRepresentativeAt-Large,Yes,yes,
John Larson,Yes,No,Connecticut,8/11/2020,Representative,1,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,ConnecticutRepresentative1,No,,
Joe Courtney,Yes,No,Connecticut,8/11/2020,Representative,2,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,ConnecticutRepresentative2,No,,
Rosa DeLauro,Yes,No,Connecticut,8/11/2020,Representative,3,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,ConnecticutRepresentative3,No,yes,
Jim Himes,Yes,No,Connecticut,8/11/2020,Representative,4,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,ConnecticutRepresentative4,No,,
Jahana Hayes,Yes,No,Connecticut,8/11/2020,Representative,5,Female,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,Won,,ConnecticutRepresentative5,No,yes,
Steve Carlson,No,No,Minnesota,8/11/2020,Senator,N/A,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,Lost,,MinnesotaSenatorN/A,Yes,,
Ahmad Hassan,No,No,Minnesota,8/11/2020,Senator,N/A,Male,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,Lost,,MinnesotaSenatorN/A,Yes,,
